No,X1_transaction_date,X2-house_age,X3_distance_to_the_nearest_MRT_station,X4_number_of_convenience_stores,X5_latitude,X6_longitude,Y_house_price_of_unit_area
9,2013.5,31.7,5512.0380000000005,1,24.95095,121.48458000000001,18.8
394,2013.0,16.9,967.4,4,24.98872,121.53408,40.3
227,2013.0,16.5,4082.015,0,24.94155,121.50381000000002,12.8
253,2012.8329999999999,5.9,90.45606,9,24.97433,121.5431,52.7
378,2013.3329999999999,3.9,49.66105,8,24.95836,121.53756000000001,56.8
122,2013.5,13.6,492.2313,5,24.96515,121.53737,48.0
22,2013.4170000000001,10.5,279.1726,7,24.975279999999998,121.54541,51.6
206,2013.0829999999999,12.8,1449.7220000000002,3,24.97289,121.51728,21.4
179,2013.5,13.1,1144.4360000000001,4,24.99176,121.53456000000001,36.7
198,2013.25,34.4,126.7286,8,24.96881,121.54088999999999,48.2
195,2013.5,15.2,3771.895,0,24.933629999999997,121.51158000000001,29.3
293,2013.0829999999999,17.5,395.6747,5,24.95674,121.53399999999999,24.5
29,2013.5,19.2,557.4780000000001,4,24.97419,121.53797,47.0
44,2012.75,34.4,512.7871,6,24.987479999999998,121.54301000000001,34.1
363,2013.4170000000001,17.1,967.4,4,24.98872,121.53408,40.0
197,2013.0,22.8,707.9067,2,24.980999999999998,121.54713000000001,36.6
235,2013.25,8.0,2216.612,4,24.96007,121.51361000000001,23.9
146,2012.9170000000001,2.1,451.2438,5,24.97563,121.54693999999999,45.5
286,2013.1670000000001,30.1,718.2937,3,24.975089999999998,121.53643999999998,55.3
283,2012.9170000000001,2.0,1455.7979999999998,1,24.9512,121.54899999999999,25.6
115,2012.6670000000001,30.6,143.8383,8,24.98155,121.54142,53.3
260,2013.0829999999999,17.7,837.7233,0,24.96334,121.54767,28.8
224,2013.25,9.1,1402.016,0,24.985689999999998,121.5276,42.3
203,2012.9170000000001,38.3,642.6985,3,24.97559,121.53713,31.5
106,2012.8329999999999,0.0,292.9978,6,24.977439999999998,121.54458000000001,71.0
41,2013.0,13.6,4082.015,0,24.94155,121.50381000000002,15.9
61,2013.4170000000001,11.0,1931.207,2,24.96365,121.51471000000001,21.3
259,2013.4170000000001,0.0,292.9978,6,24.977439999999998,121.54458000000001,63.3
340,2013.3329999999999,1.7,329.9747,5,24.98254,121.54395,50.4
116,2013.0829999999999,20.6,737.9161,2,24.98092,121.54739,46.4
189,2012.9170000000001,34.8,190.0392,8,24.97707,121.54312,44.3
295,2013.5,26.4,335.5273,6,24.9796,121.5414,38.1
373,2013.0,33.9,157.6052,7,24.966279999999998,121.54196,41.5
336,2013.5829999999999,27.3,337.6016,6,24.96431,121.54063000000001,36.5
397,2012.6670000000001,37.1,918.6357,1,24.97198,121.55063,31.9
266,2012.8329999999999,15.7,815.9314,4,24.97886,121.53464,38.1
278,2013.4170000000001,21.2,2185.1279999999997,3,24.96322,121.51236999999999,27.7
36,2013.5,13.9,4079.4179999999997,0,25.01459,121.51816000000001,27.3
349,2012.8329999999999,4.6,259.6607,6,24.97585,121.54516000000001,53.7
160,2012.6670000000001,15.5,815.9314,4,24.97886,121.53464,37.4
27,2012.6670000000001,3.1,383.8624,5,24.98085,121.54391000000001,56.2
324,2013.4170000000001,28.6,197.1338,6,24.97631,121.54436000000001,42.5
199,2013.0829999999999,34.0,157.6052,7,24.966279999999998,121.54196,39.1
129,2013.0829999999999,41.3,124.9912,6,24.966739999999998,121.54038999999999,60.7
252,2012.9170000000001,31.7,1159.454,0,24.9496,121.53018,13.8
327,2013.5,4.1,56.47425,7,24.95744,121.53711000000001,62.1
200,2013.4170000000001,18.2,451.6419,8,24.96945,121.5449,31.6
265,2013.1670000000001,32.6,493.657,7,24.96968,121.54522,40.6
171,2013.3329999999999,24.0,4527.687,0,24.94741,121.49628,14.4
175,2013.4170000000001,4.3,432.0385,7,24.9805,121.53778,45.2
202,2013.4170000000001,13.1,561.9845,5,24.987460000000002,121.54391000000001,45.9
386,2013.0,18.3,82.88643,10,24.983,121.54026,46.6
382,2013.4170000000001,8.0,132.5469,9,24.982979999999998,121.53981,47.3
357,2012.8329999999999,10.3,211.4473,1,24.97417,121.52998999999998,45.3
399,2013.4170000000001,14.7,1717.193,2,24.964470000000002,121.51648999999999,23.0
247,2013.4170000000001,16.4,389.8219,6,24.96412,121.54273,40.6
279,2012.75,0.0,208.3905,6,24.95618,121.53844,44.0
214,2013.0829999999999,6.2,90.45606,9,24.97433,121.5431,58.0
211,2013.5,5.2,390.5684,5,24.97937,121.54245,52.2
103,2013.0829999999999,1.1,193.5845,6,24.96571,121.54088999999999,54.4
249,2013.0,19.0,1009.235,0,24.96357,121.54951000000001,22.3
13,2012.9170000000001,13.0,492.2313,5,24.96515,121.53737,39.3
173,2013.5829999999999,6.6,90.45606,9,24.97433,121.5431,58.1
98,2013.0829999999999,28.4,617.4424,3,24.97746,121.53298999999998,34.6
35,2012.75,15.4,205.36700000000002,7,24.984189999999998,121.54243000000001,55.1
124,2013.4170000000001,0.0,185.4296,0,24.9711,121.5317,45.5
