No,X1_transaction_date,X2-house_age,X3_distance_to_the_nearest_MRT_station,X4_number_of_convenience_stores,X5_latitude,X6_longitude,Y_house_price_of_unit_area
250,2012.8329999999999,18.0,6306.153,1,24.95743,121.47516,15.0
137,2012.75,11.4,390.5684,5,24.97937,121.54245,46.8
196,2013.3329999999999,15.2,461.1016,5,24.95425,121.5399,34.6
347,2013.4170000000001,13.2,1712.632,2,24.96412,121.5167,30.8
313,2013.5829999999999,35.4,318.5292,9,24.97071,121.54068999999998,78.0
180,2013.0829999999999,14.0,438.8513,1,24.97493,121.5273,42.6
215,2013.5829999999999,18.1,1783.18,3,24.96731,121.51486000000001,20.9
212,2013.0829999999999,0.0,274.0144,1,24.9748,121.53058999999999,43.5
161,2012.9170000000001,3.5,49.66105,8,24.95836,121.53756000000001,57.8
254,2012.6670000000001,30.4,1735.595,2,24.96464,121.51623000000001,25.9
154,2013.25,6.5,376.1709,6,24.954179999999997,121.53713,40.9
398,2013.4170000000001,13.1,1164.838,4,24.99156,121.53406000000001,32.2
243,2012.8329999999999,2.0,2077.39,3,24.96357,121.51328999999998,33.4
414,2013.5,6.5,90.45606,9,24.97433,121.5431,63.9
21,2013.4170000000001,4.5,2275.877,3,24.96314,121.51151000000002,29.3
288,2013.0,19.2,461.1016,5,24.95425,121.5399,32.9
60,2013.0829999999999,13.3,336.0532,5,24.95776,121.53438,42.4
282,2013.3329999999999,4.7,387.7721,9,24.98118,121.53788,44.8
388,2013.25,16.2,2103.555,3,24.960420000000003,121.51462,25.6
256,2013.4170000000001,31.5,5512.0380000000005,1,24.95095,121.48458000000001,17.4
412,2013.25,18.8,390.9696,7,24.979229999999998,121.53986,40.6
316,2013.0829999999999,15.6,1756.411,2,24.9832,121.51812,27.3
190,2012.9170000000001,16.3,4066.587,0,24.942970000000003,121.50341999999999,20.5
255,2012.6670000000001,1.1,329.9747,5,24.98254,121.54395,51.8
19,2013.4170000000001,16.9,368.1363,8,24.9675,121.54451,42.3
150,2012.6670000000001,34.9,179.4538,8,24.973489999999998,121.54245,39.7
384,2012.6670000000001,29.1,506.1144,4,24.97845,121.53889,40.3
299,2013.3329999999999,16.7,4082.015,0,24.94155,121.50381000000002,16.7
307,2013.5,14.4,169.9803,1,24.973689999999998,121.52978999999999,50.2
245,2013.0829999999999,4.8,1559.8270000000002,3,24.97213,121.51626999999999,21.7
241,2013.0829999999999,11.0,1712.632,2,24.96412,121.5167,28.8
48,2013.5829999999999,35.9,640.7391,3,24.97563,121.53715,61.5
242,2013.5,13.7,250.63099999999997,7,24.96606,121.54297,41.4
335,2012.9170000000001,30.0,1013.341,5,24.99006,121.5346,22.8
355,2013.4170000000001,12.2,1360.139,1,24.95204,121.54842,30.1
309,2013.4170000000001,16.4,289.3248,5,24.982029999999998,121.54348,53.0
55,2013.0829999999999,16.1,289.3248,5,24.982029999999998,121.54348,51.7
184,2013.5,17.0,4082.015,0,24.94155,121.50381000000002,18.8
343,2012.6670000000001,5.7,90.45606,9,24.97433,121.5431,53.5
188,2013.0,8.9,3078.176,0,24.954639999999998,121.56626999999999,22.0
126,2013.1670000000001,1.1,193.5845,6,24.96571,121.54088999999999,48.6
332,2013.3329999999999,25.6,4519.69,0,24.94826,121.49587,15.6
157,2013.5829999999999,30.7,1264.73,0,24.948829999999997,121.52954,18.3
145,2013.0829999999999,11.9,1360.139,1,24.95204,121.54842,28.4
280,2013.4170000000001,2.6,1554.25,3,24.97026,121.51642,31.1
183,2013.5,13.5,2147.376,3,24.962989999999998,121.51284,23.6
112,2013.5829999999999,33.3,196.6172,7,24.97701,121.54223999999999,39.4
328,2013.4170000000001,3.5,757.3377,3,24.975379999999998,121.54971,36.7
54,2013.0829999999999,13.3,492.2313,5,24.96515,121.53737,38.9
