date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus_Weekend,Day_of_week_Friday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type_Maximum_Load,Load_Type_Medium_Load
02/02/2018 18:45,47.81,7.02,0.0,0.02,98.94,100.0,67500,0,1,0,0,0,0,0,1,0
17/03/2018 12:30,4.64,0.0,26.46,0.0,100.0,17.27,45000,1,0,1,0,0,0,0,0,1
04/10/2018 20:15,56.88,33.62,0.0,0.03,86.09,100.0,72900,0,0,0,0,1,0,0,0,1
31/12/2018 08:15,3.6,2.48,0.32,0.0,82.35,99.61,29700,0,0,0,0,0,0,0,0,0
09/02/2018 07:00,4.28,4.54,0.0,0.0,68.6,100.0,25200,0,1,0,0,0,0,0,0,0
17/02/2018 02:45,3.24,4.03,0.0,0.0,62.66,100.0,9900,1,0,1,0,0,0,0,0,0
11/11/2018 15:00,2.92,0.0,12.31,0.0,100.0,23.08,54000,1,0,0,1,0,0,0,0,0
21/01/2018 16:15,5.11,0.0,25.49,0.0,100.0,19.66,58500,1,0,0,1,0,0,0,0,0
05/03/2018 09:45,56.05,21.17,0.0,0.03,93.55,100.0,35100,0,0,0,0,0,0,0,0,1
16/03/2018 11:45,97.13,56.16,0.0,0.04,86.57,100.0,42300,0,1,0,0,0,0,0,1,0
10/03/2018 11:00,8.32,0.0,24.37,0.0,100.0,32.31,39600,1,0,1,0,0,0,0,1,0
09/04/2018 00:45,3.06,3.89,0.0,0.0,61.83,100.0,2700,0,0,0,0,0,0,0,0,0
21/04/2018 10:30,89.21,15.23,0.0,0.04,98.57,100.0,37800,1,0,1,0,0,0,0,1,0
04/12/2018 19:15,49.07,17.06,0.0,0.02,94.45,100.0,69300,0,0,0,0,0,1,0,1,0
16/02/2018 21:00,3.28,0.0,18.0,0.0,100.0,17.93,75600,0,1,0,0,0,0,0,0,0
14/04/2018 10:30,38.16,0.86,1.19,0.02,99.97,99.95,37800,1,0,1,0,0,0,0,1,0
28/03/2018 02:30,3.6,4.32,0.0,0.0,64.02,100.0,9000,0,0,0,0,0,0,1,0,0
24/07/2018 10:45,104.94,57.02,0.0,0.05,87.87,100.0,38700,0,0,0,0,0,1,0,1,0
11/12/2018 20:45,32.36,2.74,3.02,0.01,99.64,99.57,74700,0,0,0,0,0,1,0,0,1
26/05/2018 04:45,3.13,5.58,0.0,0.0,48.92,100.0,17100,1,0,1,0,0,0,0,0,0
19/12/2018 15:00,145.22,70.67,0.0,0.07,89.92,100.0,54000,0,0,0,0,0,0,1,0,1
07/11/2018 17:15,53.75,31.57,0.0,0.02,86.23,100.0,62100,0,0,0,0,0,0,1,1,0
07/09/2018 01:45,3.1,5.29,0.0,0.0,50.56,100.0,6300,0,1,0,0,0,0,0,0,0
31/10/2018 13:30,71.06,35.46,0.0,0.03,89.48,100.0,48600,0,0,0,0,0,0,1,1,0
03/01/2018 16:30,116.53,41.9,0.0,0.05,94.1,100.0,59400,0,0,0,0,0,0,1,0,1
01/03/2018 12:00,40.97,24.84,0.0,0.02,85.51,100.0,43200,0,0,0,0,1,0,0,1,0
27/05/2018 11:00,3.71,0.0,20.74,0.0,100.0,17.61,39600,1,0,0,1,0,0,0,0,0
01/09/2018 12:45,25.49,1.33,0.86,0.01,99.86,99.94,45900,1,0,1,0,0,0,0,0,1
13/04/2018 13:00,4.5,0.0,16.2,0.0,100.0,26.76,46800,0,1,0,0,0,0,0,0,1
15/12/2018 00:30,4.1,3.89,0.0,0.0,72.54,100.0,1800,1,0,1,0,0,0,0,0,0
06/06/2018 16:00,56.16,31.54,0.0,0.03,87.19,100.0,57600,0,0,0,0,0,0,1,1,0
22/04/2018 08:00,3.1,4.28,0.0,0.0,58.66,100.0,28800,1,0,0,1,0,0,0,0,0
05/12/2018 07:45,4.32,3.13,0.18,0.0,80.98,99.91,27900,0,0,0,0,0,0,1,0,0
01/12/2018 03:45,3.92,3.28,0.07,0.0,76.69,99.98,13500,1,0,1,0,0,0,0,0,0
02/09/2018 11:15,35.53,10.8,0.0,0.02,95.68,100.0,40500,1,0,0,1,0,0,0,1,0
06/04/2018 02:15,3.56,5.18,0.0,0.0,56.64,100.0,8100,0,1,0,0,0,0,0,0,0
01/07/2018 11:45,2.84,0.0,5.72,0.0,100.0,44.47,42300,1,0,0,1,0,0,0,0,0
29/10/2018 11:00,111.2,37.04,0.0,0.05,94.88,100.0,39600,0,0,0,0,0,0,0,1,0
02/06/2018 12:30,3.31,0.0,16.2,0.0,100.0,20.02,45000,1,0,1,0,0,0,0,0,0
03/02/2018 02:30,6.12,5.0,0.0,0.0,77.44,100.0,9000,1,0,1,0,0,0,0,0,0
05/05/2018 13:15,3.24,0.0,17.21,0.0,100.0,18.5,47700,1,0,1,0,0,0,0,0,0
25/02/2018 00:30,60.98,36.29,0.0,0.03,85.93,100.0,1800,1,0,0,1,0,0,0,0,0
20/08/2018 19:15,45.72,22.82,0.0,0.02,89.47,100.0,69300,0,0,0,0,0,0,0,0,1
22/06/2018 22:45,3.42,5.36,0.0,0.0,53.79,100.0,81900,0,1,0,0,0,0,0,0,1
12/02/2018 20:30,36.14,0.32,7.02,0.02,100.0,98.17,73800,0,0,0,0,0,0,0,0,1
