date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus_Weekend,Day_of_week_Friday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type_Maximum_Load,Load_Type_Medium_Load
27/02/2018 12:45,7.27,0.0,26.35,0.0,100.0,26.6,45900,0,0,0,0,0,1,0,0,1
14/09/2018 07:30,3.49,5.62,0.0,0.0,52.76,100.0,27000,0,1,0,0,0,0,0,0,0
28/08/2018 22:45,3.42,4.86,0.0,0.0,57.55,100.0,81900,0,0,0,0,0,1,0,0,1
20/05/2018 18:45,3.92,0.0,12.49,0.0,100.0,29.94,67500,1,0,0,1,0,0,0,0,1
18/01/2018 00:15,34.74,25.6,0.0,0.02,80.5,100.0,900,0,0,0,0,1,0,0,0,0
07/05/2018 11:00,129.6,52.88,0.0,0.06,92.59,100.0,39600,0,0,0,0,0,0,0,1,0
20/04/2018 11:00,68.69,36.4,0.0,0.03,88.36,100.0,39600,0,1,0,0,0,0,0,1,0
07/07/2018 18:00,3.71,0.0,25.02,0.0,100.0,14.67,64800,1,0,1,0,0,0,0,0,1
28/06/2018 19:45,34.99,4.18,0.11,0.02,99.29,100.0,71100,0,0,0,0,1,0,0,0,1
15/03/2018 09:00,123.44,56.3,0.0,0.06,90.98,100.0,32400,0,0,0,0,1,0,0,0,0
21/05/2018 03:15,3.46,4.68,0.0,0.0,59.45,100.0,11700,0,0,0,0,0,0,0,0,0
19/08/2018 22:00,2.88,0.0,13.03,0.0,100.0,21.58,79200,1,0,0,1,0,0,0,0,0
24/01/2018 18:00,34.38,0.04,9.68,0.02,100.0,96.26,64800,0,0,0,0,0,0,1,1,0
19/05/2018 01:15,3.67,5.04,0.0,0.0,58.86,100.0,4500,1,0,1,0,0,0,0,0,0
10/04/2018 04:30,2.92,2.84,0.0,0.0,71.69,100.0,16200,0,0,0,0,0,1,0,0,0
24/09/2018 16:00,2.81,0.0,10.51,0.0,100.0,25.83,57600,0,0,0,0,0,0,0,0,0
11/10/2018 04:30,3.06,6.01,0.0,0.0,45.37,100.0,16200,0,0,0,0,1,0,0,0,0
