date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus_Weekend,Day_of_week_Friday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type_Maximum_Load,Load_Type_Medium_Load
10/10/2018 20:45,99.4,41.0,0.0,0.05,92.44,100.0,74700,0,0,0,0,0,0,1,0,1
30/03/2018 02:30,4.21,4.97,0.0,0.0,64.64,100.0,9000,0,1,0,0,0,0,0,0,0
02/07/2018 21:30,3.82,0.0,24.84,0.0,100.0,15.2,77400,0,0,0,0,0,0,0,0,1
19/10/2018 20:00,60.19,45.65,0.0,0.03,79.68,100.0,72000,0,1,0,0,0,0,0,0,1
15/10/2018 17:15,87.52,36.47,0.0,0.04,92.31,100.0,62100,0,0,0,0,0,0,0,0,1
09/02/2018 06:45,4.39,4.25,0.0,0.0,71.85,100.0,24300,0,1,0,0,0,0,0,0,0
28/10/2018 21:45,2.95,0.0,11.34,0.0,100.0,25.18,78300,1,0,0,1,0,0,0,0,0
28/07/2018 14:30,44.89,16.27,0.0,0.02,94.02,100.0,52200,1,0,1,0,0,0,0,1,0
19/11/2018 01:15,2.92,4.46,0.0,0.0,54.78,100.0,4500,0,0,0,0,0,0,0,0,0
18/07/2018 12:30,30.92,5.58,0.0,0.01,98.41,100.0,45000,0,0,0,0,0,0,1,0,1
07/09/2018 09:30,93.42,36.14,0.0,0.04,93.26,100.0,34200,0,1,0,0,0,0,0,0,1
02/08/2018 07:30,2.63,4.72,0.0,0.0,48.67,100.0,27000,0,0,0,0,1,0,0,0,0
14/06/2018 21:00,43.2,13.36,1.51,0.02,95.54,99.94,75600,0,0,0,0,1,0,0,0,1
23/08/2018 09:00,57.31,39.24,0.0,0.03,82.51,100.0,32400,0,0,0,0,1,0,0,0,0
26/12/2018 17:45,9.5,0.0,19.98,0.0,100.0,42.94,63900,0,0,0,0,0,0,1,1,0
13/05/2018 23:15,2.92,4.03,0.0,0.0,58.67,100.0,83700,1,0,0,1,0,0,0,0,0
30/03/2018 13:30,66.64,34.52,0.0,0.03,88.79,100.0,48600,0,1,0,0,0,0,0,1,0
10/02/2018 09:30,4.57,0.0,26.71,0.0,100.0,16.86,34200,1,0,1,0,0,0,0,0,0
24/07/2018 09:30,93.02,49.9,0.0,0.04,88.12,100.0,34200,0,0,0,0,0,1,0,0,1
07/08/2018 14:15,58.75,28.62,0.0,0.03,89.9,100.0,51300,0,0,0,0,0,1,0,1,0
18/08/2018 12:00,26.57,15.37,1.15,0.01,86.56,99.91,43200,1,0,1,0,0,0,0,1,0
10/02/2018 23:15,4.32,3.89,0.0,0.0,74.31,100.0,83700,1,0,1,0,0,0,0,0,0
04/03/2018 08:00,3.06,4.25,0.0,0.0,58.43,100.0,28800,1,0,0,1,0,0,0,0,0
31/01/2018 11:30,135.22,70.7,0.0,0.06,88.62,100.0,41400,0,0,0,0,0,0,1,1,0
13/05/2018 16:00,3.13,0.0,16.88,0.0,100.0,18.23,57600,1,0,0,1,0,0,0,0,0
19/03/2018 22:30,3.74,4.68,0.0,0.0,62.43,100.0,81000,0,0,0,0,0,0,0,0,1
19/08/2018 14:15,3.49,0.0,13.21,0.0,100.0,25.54,51300,1,0,0,1,0,0,0,0,0
25/06/2018 01:15,3.46,5.04,0.0,0.0,56.6,100.0,4500,0,0,0,0,0,0,0,0,0
27/03/2018 22:45,3.67,5.04,0.0,0.0,58.86,100.0,81900,0,0,0,0,0,1,0,0,1
07/12/2018 03:45,4.0,4.43,0.0,0.0,67.02,100.0,13500,0,1,0,0,0,0,0,0,0
17/05/2018 20:45,103.36,45.14,0.0,0.05,91.64,100.0,74700,0,0,0,0,1,0,0,0,1
22/03/2018 07:45,4.72,5.65,0.0,0.0,64.11,100.0,27900,0,0,0,0,1,0,0,0,0
21/08/2018 21:00,34.06,14.65,3.89,0.02,91.86,99.35,75600,0,0,0,0,0,1,0,0,1
18/08/2018 05:00,2.52,3.78,0.0,0.0,55.47,100.0,18000,1,0,1,0,0,0,0,0,0
02/12/2018 17:00,3.53,0.0,14.33,0.0,100.0,23.92,61200,1,0,0,1,0,0,0,0,0
18/05/2018 05:15,3.2,5.65,0.0,0.0,49.28,100.0,18900,0,1,0,0,0,0,0,0,0
12/04/2018 13:30,65.7,40.21,0.0,0.03,85.29,100.0,48600,0,0,0,0,1,0,0,1,0
08/04/2018 03:15,3.6,4.93,0.0,0.0,58.97,100.0,11700,1,0,0,1,0,0,0,0,0
19/04/2018 12:00,59.54,41.51,0.0,0.03,82.03,100.0,43200,0,0,0,0,1,0,0,1,0
15/10/2018 07:00,2.74,4.79,0.0,0.0,49.65,100.0,25200,0,0,0,0,0,0,0,0,0
02/08/2018 12:00,2.59,0.0,5.44,0.0,100.0,42.99,43200,0,0,0,0,1,0,0,0,0
02/03/2018 18:30,27.76,6.37,0.0,0.01,97.47,100.0,66600,0,1,0,0,0,0,0,0,1
18/04/2018 05:45,3.02,3.38,0.0,0.0,66.63,100.0,20700,0,0,0,0,0,0,1,0,0
29/12/2018 12:30,3.46,0.0,13.28,0.0,100.0,25.21,45000,1,0,1,0,0,0,0,0,0
09/08/2018 04:00,2.77,5.22,0.0,0.0,46.87,100.0,14400,0,0,0,0,1,0,0,0,0
11/09/2018 13:45,122.94,69.26,0.0,0.06,87.13,100.0,49500,0,0,0,0,0,1,0,1,0
21/08/2018 03:45,2.74,5.22,0.0,0.0,46.48,100.0,13500,0,0,0,0,0,1,0,0,0
